seed,total_train_units,sel_ratio,sel_sensor_num,method,initial_units_nums_ratio,initial_units_nums,update_period_ratio,update_period,rmse_test,mape_test,mae_test,time(s)
0,249,0.1,2,random,1.0,249,0.0,0,76.1201,0.6317,60.23887078,351.09375
0,249,0.1,2,greedy,1.0,249,0.0,0,62.9684,0.3282,44.80408362,1783.171875
0,249,0.1,2,linear_approx,1.0,249,0.0,0,63.0461,0.3292,44.95101596,4089.890625
0,249,0.2,4,random,1.0,249,0.0,0,73.2504,0.5618,57.42532646,353.53125
0,249,0.2,4,greedy,1.0,249,0.0,0,63.1688,0.33,44.99670647,3071.421875
0,249,0.2,4,linear_approx,1.0,249,0.0,0,62.9784,0.3267,44.77724794,34494.26563
0,249,0.8,19,random,1.0,249,0.0,0,65.7114,0.3866,48.54760852,276.84375
0,249,0.8,19,greedy,1.0,249,0.0,0,63.1193,0.3335,45.16672401,7842.40625
0,249,0.8,19,linear_approx,1.0,249,0.0,0,62.7788,0.3313,44.97240015,81760.71875
0,249,0.1,2,random,0.8,199,0.2,49,74.6663,0.5919,59.33971502,350.875
0,249,0.1,2,greedy,0.8,199,0.2,49,61.2345,0.3136,44.05342039,2035.546875
0,249,0.1,2,linear_approx,0.8,199,0.2,49,65.1856,0.3002,45.76838028,4457.140625
0,249,0.1,2,random,0.8,199,0.1,24,72.9058,0.5308,56.72560233,351.984375
0,249,0.1,2,greedy,0.8,199,0.1,24,60.6385,0.3094,42.81868589,2061.296875
0,249,0.1,2,linear_approx,0.8,199,0.1,24,62.9335,0.2899,44.04035446,4472.890625
0,249,0.1,2,random,0.4,99,0.4,99,74.6073,0.4941,56.71336089,352.53125
0,249,0.1,2,greedy,0.4,99,0.4,99,61.4798,0.2944,43.10688217,2026.59375
0,249,0.1,2,linear_approx,0.4,99,0.4,99,60.6784,0.3147,43.29512553,4444.578125
0,249,0.1,2,random,0.4,99,0.2,49,80.8476,0.5136,60.81378423,350.265625
0,249,0.1,2,greedy,0.4,99,0.2,49,65.2521,0.3004,45.30505634,2037.140625
0,249,0.1,2,linear_approx,0.4,99,0.2,49,63.3634,0.2876,44.15810056,4492.390625
0,249,0.1,2,random,0.4,99,0.1,24,75.4544,0.5153,57.53533311,352.8125
0,249,0.1,2,greedy,0.4,99,0.1,24,65.5215,0.3228,46.13021338,2022.890625
0,249,0.1,2,linear_approx,0.4,99,0.1,24,63.3562,0.3042,44.77266953,4451.65625
0,249,0.1,2,random,0.2,49,0.8,199,77.82,0.4725,58.46503948,351.640625
0,249,0.1,2,greedy,0.2,49,0.8,199,64.7216,0.3203,46.14278099,2017.34375
0,249,0.1,2,linear_approx,0.2,49,0.8,199,64.09,0.3416,46.54245727,4422.859375
0,249,0.1,2,random,0.2,49,0.4,99,74.6463,0.4713,55.94601167,349.53125
0,249,0.1,2,greedy,0.2,49,0.4,99,62.2303,0.3,44.08329382,2014.671875
0,249,0.1,2,linear_approx,0.2,49,0.4,99,61.9342,0.319,44.17823705,4454.0625
0,249,0.1,2,random,0.2,49,0.2,49,81.2269,0.5147,60.90285663,350.0
0,249,0.1,2,greedy,0.2,49,0.2,49,62.4841,0.3193,44.80080784,2006.140625
0,249,0.1,2,linear_approx,0.2,49,0.2,49,62.5609,0.3041,44.48720931,4461.765625
0,249,0.1,2,random,0.2,49,0.1,24,77.3607,0.4913,58.14925301,351.078125
0,249,0.1,2,greedy,0.2,49,0.1,24,64.2517,0.3213,45.48112567,2041.984375
0,249,0.1,2,linear_approx,0.2,49,0.1,24,64.66,0.3199,46.19621572,4445.734375
0,249,0.1,2,random,0.0,0,0.8,199,76.9433,0.4689,57.57554635,355.328125
0,249,0.1,2,greedy,0.0,0,0.8,199,73.661,0.3333,53.04282712,2037.4375
0,249,0.1,2,linear_approx,0.0,0,0.8,199,71.983,0.323,51.65419219,4466.703125
0,249,0.1,2,random,0.0,0,0.4,99,74.8219,0.4679,56.97777854,358.640625
0,249,0.1,2,greedy,0.0,0,0.4,99,67.0687,0.3072,47.10167777,2126.015625
0,249,0.1,2,linear_approx,0.0,0,0.4,99,67.1875,0.316,47.5940077,4593.078125
0,249,0.1,2,random,0.0,0,0.2,49,75.36,0.474,56.75087578,363.5
0,249,0.1,2,greedy,0.0,0,0.2,49,62.7435,0.3132,43.81132887,2095.84375
0,249,0.1,2,linear_approx,0.0,0,0.2,49,65.9258,0.3375,47.30159854,4600.0625
0,249,0.1,2,random,0.0,0,0.1,24,76.8074,0.4559,57.67343831,364.625
0,249,0.1,2,greedy,0.0,0,0.1,24,64.6738,0.3072,45.68567377,2112.765625
0,249,0.1,2,linear_approx,0.0,0,0.1,24,64.2514,0.3175,45.43869873,4598.609375
1,249,0.1,2,random,1.0,249,0.0,0,72.7775,0.5796,58.04456531,352.03125
1,249,0.1,2,greedy,1.0,249,0.0,0,61.7731,0.317,44.13077492,1776.46875
1,249,0.1,2,linear_approx,1.0,249,0.0,0,61.5732,0.3147,43.95178851,4109.03125
1,249,0.2,4,random,1.0,249,0.0,0,69.2242,0.4862,53.60024308,354.28125
1,249,0.2,4,greedy,1.0,249,0.0,0,61.6423,0.3073,43.87795879,3070.15625
1,249,0.2,4,linear_approx,1.0,249,0.0,0,61.2345,0.3012,43.42576053,35336.64063
1,249,0.8,19,random,1.0,249,0.0,0,63.2106,0.3386,45.8031887,314.640625
1,249,0.8,19,greedy,1.0,249,0.0,0,61.8404,0.3043,43.92175934,7695.265625
1,249,0.8,19,linear_approx,1.0,249,0.0,0,61.2442,0.2929,43.25689624,82648.875
1,249,0.1,2,random,0.8,199,0.2,49,72.8042,0.5419,56.51740931,354.046875
1,249,0.1,2,greedy,0.8,199,0.2,49,66.5318,0.2997,45.89149679,2046.09375
1,249,0.1,2,linear_approx,0.8,199,0.2,49,62.2952,0.2932,43.5627326,4444.4375
1,249,0.1,2,random,0.8,199,0.1,24,73.4442,0.581,57.45929072,355.140625
1,249,0.1,2,greedy,0.8,199,0.1,24,61.545,0.3094,43.75593539,2053.078125
