seed,total_train_units,sel_ratio,sel_sensor_num,method,initial_units_nums_ratio,initial_units_nums,update_period_ratio,update_period,rmse_test,mape_test,mae_test,time(s)
7,100,0.1,1,random,1.0,100,0.0,0,46.8017,0.4325,36.105847208037616,97.484375
7,100,0.1,1,greedy,1.0,100,0.0,0,39.7983,0.2958,30.44978336129745,226.375
7,100,0.1,1,linear_approx,1.0,100,0.0,0,41.5614,0.3093,31.46511686655865,899.046875
7,100,0.2,2,random,1.0,100,0.0,0,43.9954,0.3616,33.88424297450376,96.203125
7,100,0.2,2,greedy,1.0,100,0.0,0,40.7429,0.3043,31.539295245022807,342.046875
7,100,0.2,2,linear_approx,1.0,100,0.0,0,39.7517,0.3003,30.381318841728323,948.890625
7,100,0.4,5,random,1.0,100,0.0,0,39.9846,0.3063,30.397408591663027,92.015625
7,100,0.4,5,greedy,1.0,100,0.0,0,38.4988,0.2792,28.897990362891708,609.671875
7,100,0.4,5,linear_approx,1.0,100,0.0,0,39.2884,0.2869,29.58271619091924,2371.375
7,100,0.8,11,random,1.0,100,0.0,0,39.8463,0.295,30.098061749972917,99.515625
7,100,0.8,11,greedy,1.0,100,0.0,0,38.6148,0.2838,29.33035711621257,1014.171875
7,100,0.8,11,linear_approx,1.0,100,0.0,0,39.3191,0.2855,29.73875883677592,1173.5625
7,100,0.1,1,random,0.8,80,0.2,20,54.0533,0.4542,42.19843178876056,98.09375
7,100,0.1,1,greedy,0.8,80,0.2,20,46.226,0.3131,33.68092176262945,236.375
7,100,0.1,1,linear_approx,0.8,80,0.2,20,43.2571,0.3186,32.602455165714666,960.921875
7,100,0.1,1,random,0.8,80,0.1,10,48.1532,0.3945,37.15925881960147,98.09375
7,100,0.1,1,greedy,0.8,80,0.1,10,39.8932,0.2769,29.575828497656193,239.3125
7,100,0.1,1,linear_approx,0.8,80,0.1,10,39.5043,0.2761,29.26578606134393,968.90625
7,100,0.1,1,random,0.4,40,0.4,40,45.5902,0.346,34.99623128566767,99.28125
7,100,0.1,1,greedy,0.4,40,0.4,40,40.7592,0.2594,29.727169594070546,239.140625
7,100,0.1,1,linear_approx,0.4,40,0.4,40,39.6645,0.2568,28.43330191804075,968.828125
7,100,0.1,1,random,0.4,40,0.2,20,46.5055,0.351,34.516191702508436,100.0625
7,100,0.1,1,greedy,0.4,40,0.2,20,45.4077,0.2801,32.861888146528464,244.0625
7,100,0.1,1,linear_approx,0.4,40,0.2,20,38.159,0.2526,27.469279589531535,966.859375
7,100,0.1,1,random,0.4,40,0.1,10,46.6657,0.3323,34.9380368162247,99.890625
7,100,0.1,1,greedy,0.4,40,0.1,10,39.883,0.2935,30.40377717138397,249.78125
7,100,0.1,1,linear_approx,0.4,40,0.1,10,41.19,0.2919,30.169394477933412,989.65625
7,100,0.1,1,random,0.2,20,0.8,80,48.0614,0.3547,37.301845308945474,98.421875
7,100,0.1,1,greedy,0.2,20,0.8,80,39.3622,0.2937,30.31586826578332,237.890625
7,100,0.1,1,linear_approx,0.2,20,0.8,80,41.2628,0.2794,31.104012349791983,969.484375
7,100,0.1,1,random,0.2,20,0.4,40,46.9425,0.3146,34.92997055305229,98.84375
7,100,0.1,1,greedy,0.2,20,0.4,40,39.6673,0.2876,29.049662424500394,241.90625
7,100,0.1,1,linear_approx,0.2,20,0.4,40,42.3886,0.2785,31.464239061433457,977.90625
7,100,0.1,1,random,0.2,20,0.2,20,46.5568,0.371,35.975570932428674,99.546875
7,100,0.1,1,greedy,0.2,20,0.2,20,42.2102,0.3098,32.0423347725757,247.046875
7,100,0.1,1,linear_approx,0.2,20,0.2,20,43.4112,0.3017,32.52090039341379,983.484375
7,100,0.1,1,random,0.2,20,0.1,10,45.5968,0.38,34.16992041722298,100.96875
7,100,0.1,1,greedy,0.2,20,0.1,10,41.4175,0.316,31.004088594346523,247.984375
7,100,0.1,1,linear_approx,0.2,20,0.1,10,41.9193,0.2762,31.53086663965709,980.515625
7,100,0.1,1,random,0.0,0,0.8,80,44.018,0.3238,33.037118360061015,99.84375
7,100,0.1,1,greedy,0.0,0,0.8,80,41.335,0.2832,31.6041612002637,243.84375
7,100,0.1,1,linear_approx,0.0,0,0.8,80,44.5043,0.3203,33.54001593613883,972.734375
7,100,0.1,1,random,0.0,0,0.4,40,43.9189,0.3222,32.531894773426586,99.3125
7,100,0.1,1,greedy,0.0,0,0.4,40,45.5781,0.2925,33.83827423985025,243.5
7,100,0.1,1,linear_approx,0.0,0,0.4,40,39.4935,0.2923,29.253608680977727,984.328125
7,100,0.1,1,random,0.0,0,0.2,20,46.2269,0.3412,34.63681978162827,101.09375
7,100,0.1,1,greedy,0.0,0,0.2,20,44.7155,0.2736,32.17949393105493,250.140625
7,100,0.1,1,linear_approx,0.0,0,0.2,20,39.9423,0.2823,29.493636442682654,982.6875
7,100,0.1,1,random,0.0,0,0.1,10,47.8467,0.3786,37.019505071865545,100.84375
7,100,0.1,1,greedy,0.0,0,0.1,10,40.7866,0.2888,30.913707046558816,248.6875
7,100,0.1,1,linear_approx,0.0,0,0.1,10,39.5957,0.279,29.20456481666365,962.296875
