seed,total_train_units,sel_ratio,sel_sensor_num,method,initial_units_nums_ratio,initial_units_nums,update_period_ratio,update_period,rmse_test,mape_test,mae_test,time(s)
9,100,0.1,1,random,1.0,100,0.0,0,45.5517,0.4245,36.019874312349764,111.859375
9,100,0.1,1,greedy,1.0,100,0.0,0,39.1188,0.2973,29.92237876588623,260.6875
9,100,0.1,1,linear_approx,1.0,100,0.0,0,40.0477,0.3113,30.86647582507755,716.859375
9,100,0.2,2,random,1.0,100,0.0,0,42.7527,0.3614,33.309972708485,76.96875
9,100,0.2,2,greedy,1.0,100,0.0,0,39.3589,0.2949,29.830147574240016,267.390625
9,100,0.2,2,linear_approx,1.0,100,0.0,0,39.9364,0.3061,30.4383357300437,741.953125
9,100,0.4,5,random,1.0,100,0.0,0,40.5079,0.3093,30.356331199941653,77.4375
9,100,0.4,5,greedy,1.0,100,0.0,0,40.0478,0.3001,30.371161223463968,490.765625
9,100,0.4,5,linear_approx,1.0,100,0.0,0,38.6684,0.291,29.287710503661103,2092.5625
9,100,0.8,11,random,1.0,100,0.0,0,39.9095,0.3003,30.18723211694296,79.828125
9,100,0.8,11,greedy,1.0,100,0.0,0,39.175,0.2896,29.46043700375377,758.078125
9,100,0.8,11,linear_approx,1.0,100,0.0,0,38.6096,0.2822,28.88873147421181,881.625
9,100,0.1,1,random,0.8,80,0.2,20,54.7135,0.4841,43.182434337526274,99.765625
9,100,0.1,1,greedy,0.8,80,0.2,20,41.8606,0.3024,30.935457481625736,236.03125
9,100,0.1,1,linear_approx,0.8,80,0.2,20,44.349,0.3196,32.73513316394358,968.390625
9,100,0.1,1,random,0.8,80,0.1,10,49.6742,0.4496,40.13723281854746,99.203125
9,100,0.1,1,greedy,0.8,80,0.1,10,43.4169,0.2874,31.14367861040754,236.78125
9,100,0.1,1,linear_approx,0.8,80,0.1,10,41.5854,0.3174,31.4748308256993,966.03125
9,100,0.1,1,random,0.4,40,0.4,40,47.8153,0.4075,36.041997252017374,99.796875
9,100,0.1,1,greedy,0.4,40,0.4,40,42.208,0.2982,31.0608552446782,237.609375
9,100,0.1,1,linear_approx,0.4,40,0.4,40,42.9755,0.3174,32.100725796401726,964.640625
9,100,0.1,1,random,0.4,40,0.2,20,44.8755,0.3804,34.16377270394678,101.484375
9,100,0.1,1,greedy,0.4,40,0.2,20,40.153,0.2654,28.78722374383272,242.28125
9,100,0.1,1,linear_approx,0.4,40,0.2,20,41.2242,0.2838,30.224160085597386,977.15625
9,100,0.1,1,random,0.4,40,0.1,10,49.9493,0.4202,38.807190319532125,100.875
9,100,0.1,1,greedy,0.4,40,0.1,10,41.2578,0.2719,30.480082130452136,244.421875
9,100,0.1,1,linear_approx,0.4,40,0.1,10,36.6528,0.2332,25.752005254741402,954.03125
9,100,0.1,1,random,0.2,20,0.8,80,44.4637,0.3671,33.909909325740344,100.546875
9,100,0.1,1,greedy,0.2,20,0.8,80,43.679,0.3105,32.09468919459576,241.953125
9,100,0.1,1,linear_approx,0.2,20,0.8,80,37.6712,0.2539,27.784911618089833,964.46875
9,100,0.1,1,random,0.2,20,0.4,40,43.9812,0.3361,33.00768416695266,100.375
9,100,0.1,1,greedy,0.2,20,0.4,40,41.0306,0.2826,29.97985055021578,243.3125
9,100,0.1,1,linear_approx,0.2,20,0.4,40,40.182,0.2529,29.128421592023173,985.703125
9,100,0.1,1,random,0.2,20,0.2,20,44.3211,0.3384,33.53071766458836,101.421875
9,100,0.1,1,greedy,0.2,20,0.2,20,42.2398,0.2968,31.50598662480354,242.953125
9,100,0.1,1,linear_approx,0.2,20,0.2,20,41.4614,0.3067,31.109619187404498,995.953125
9,100,0.1,1,random,0.2,20,0.1,10,52.6619,0.401,40.202560465904924,101.765625
9,100,0.1,1,greedy,0.2,20,0.1,10,41.615,0.2928,30.96072552314539,244.046875
9,100,0.1,1,linear_approx,0.2,20,0.1,10,41.4811,0.2768,30.637275868832454,960.28125
9,100,0.1,1,random,0.0,0,0.8,80,47.1155,0.3703,35.7592133411808,99.8125
9,100,0.1,1,greedy,0.0,0,0.8,80,44.7888,0.2764,33.03619168576247,245.59375
9,100,0.1,1,linear_approx,0.0,0,0.8,80,41.4644,0.2807,30.676714894168523,972.984375
9,100,0.1,1,random,0.0,0,0.4,40,45.7392,0.3658,34.7416195783586,100.28125
9,100,0.1,1,greedy,0.0,0,0.4,40,41.7996,0.2843,30.544192490118327,244.109375
9,100,0.1,1,linear_approx,0.0,0,0.4,40,41.099,0.2719,29.683022463471122,983.8125
9,100,0.1,1,random,0.0,0,0.2,20,49.3325,0.3864,37.77282092054832,99.828125
9,100,0.1,1,greedy,0.0,0,0.2,20,41.7515,0.2926,31.305461050549205,242.96875
9,100,0.1,1,linear_approx,0.0,0,0.2,20,40.4308,0.2707,30.019346528608832,1000.984375
9,100,0.1,1,random,0.0,0,0.1,10,45.9077,0.3336,34.293786733961696,99.578125
9,100,0.1,1,greedy,0.0,0,0.1,10,40.8339,0.2799,30.17168407600354,243.078125
9,100,0.1,1,linear_approx,0.0,0,0.1,10,43.707,0.2847,32.18321144694726,887.09375
