seed,total_train_units,sel_ratio,sel_sensor_num,method,initial_units_nums_ratio,initial_units_nums,update_period_ratio,update_period,rmse_test,mape_test,mae_test,time(s)
8,100,0.1,1,random,1,100,0,0,68.0737,0.4411,51.09211459,155.484375
8,100,0.1,1,greedy,1,100,0,0,63.6645,0.3543,45.66901254,399.5625
8,100,0.1,1,linear_approx,1,100,0,0,62.9025,0.3466,44.88380339,1494.65625
8,100,0.2,3,random,1,100,0,0,64.0793,0.3695,46.13166575,142.3125
8,100,0.2,3,greedy,1,100,0,0,62.9208,0.3401,44.64632181,786.9375
8,100,0.2,3,linear_approx,1,100,0,0,62.3507,0.3342,44.01887476,2064.109375
8,100,0.4,6,random,1,100,0,0,63.7918,0.3511,45.52822436,145.0625
8,100,0.4,6,greedy,1,100,0,0,62.8594,0.3378,44.55333619,1289.328125
8,100,0.4,6,linear_approx,1,100,0,0,62.7919,0.3359,44.42743739,7695.453125
8,100,0.8,12,random,1,100,0,0,63.6861,0.3467,45.30132365,137.515625
8,100,0.8,12,greedy,1,100,0,0,62.7201,0.3371,44.47038907,1801.03125
8,100,0.8,12,linear_approx,1,100,0,0,62.6561,0.337,44.45289003,1751.3125
8,100,0.1,1,random,0.8,80,0.2,20,71.3201,0.4554,52.893411,125.90625
8,100,0.1,1,greedy,0.8,80,0.2,20,62.6522,0.3591,45.4404162,352.71875
8,100,0.1,1,linear_approx,0.8,80,0.2,20,63.1483,0.329,44.00596743,1434.5625
8,100,0.1,1,random,0.8,80,0.1,10,67.5931,0.4214,49.75156058,127.484375
8,100,0.1,1,greedy,0.8,80,0.1,10,62.2161,0.3399,43.81631041,354.953125
8,100,0.1,1,linear_approx,0.8,80,0.1,10,62.8155,0.3373,44.53226459,1434.546875
8,100,0.1,1,random,0.4,40,0.4,40,66.2175,0.4077,48.80420902,128.609375
8,100,0.1,1,greedy,0.4,40,0.4,40,61.0752,0.3305,43.47584652,354.84375
8,100,0.1,1,linear_approx,0.4,40,0.4,40,62.9193,0.3321,43.82252808,1431.3125
8,100,0.1,1,random,0.4,40,0.2,20,69.4267,0.4262,50.9595595,127.3125
8,100,0.1,1,greedy,0.4,40,0.2,20,62.8477,0.3232,44.42100764,354.71875
8,100,0.1,1,linear_approx,0.4,40,0.2,20,59.7877,0.3152,42.65737103,1439.578125
8,100,0.1,1,random,0.4,40,0.1,10,66.4004,0.3784,47.63125254,127.328125
8,100,0.1,1,greedy,0.4,40,0.1,10,65.416,0.3385,45.48070643,356.765625
8,100,0.1,1,linear_approx,0.4,40,0.1,10,63.5153,0.3164,43.56334609,1430.53125
8,100,0.1,1,random,0.2,20,0.8,80,68.9047,0.4129,50.05244308,127.921875
8,100,0.1,1,greedy,0.2,20,0.8,80,63.8887,0.3355,45.28329158,357.21875
8,100,0.1,1,linear_approx,0.2,20,0.8,80,64.2048,0.3359,43.89903962,1436.046875
8,100,0.1,1,random,0,0,0.8,80,70.9491,0.3993,51.11699185,123.71875
8,100,0.1,1,greedy,0,0,0.8,80,65.5345,0.334,45.64353682,341.4375
8,100,0.1,1,linear_approx,0,0,0.8,80,63.3803,0.3233,44.49915174,1391.4375
8,100,0.1,1,random,0,0,0.4,40,68.9898,0.3802,49.08711181,123.609375
8,100,0.1,1,greedy,0,0,0.4,40,66.902,0.3268,46.4257522,343.28125
8,100,0.1,1,linear_approx,0,0,0.4,40,64.9599,0.3487,46.70325851,1399.46875
8,100,0.1,1,random,0,0,0.2,20,68.3577,0.4034,51.10814945,122.140625
8,100,0.1,1,greedy,0,0,0.2,20,65.6301,0.3519,47.33196571,341.46875
8,100,0.1,1,linear_approx,0,0,0.2,20,68.1181,0.3258,45.73769399,1398.453125
8,100,0.1,1,random,0,0,0.1,10,66.658,0.3707,48.76137069,122.859375
8,100,0.1,1,greedy,0,0,0.1,10,63.8175,0.3094,43.35530068,341.09375
8,100,0.1,1,linear_approx,0,0,0.1,10,62.6356,0.3094,43.22972022,1346.921875
8,100,0.1,1,random,0.2,20,0.4,40,69.1493,0.4079,49.75339784,123.125
8,100,0.1,1,greedy,0.2,20,0.4,40,63.102,0.3307,44.36107201,339.78125
8,100,0.1,1,linear_approx,0.2,20,0.4,40,61.5412,0.3242,44.09400828,1395
8,100,0.1,1,random,0.2,20,0.2,20,71.131,0.4083,51.40917367,123.0625
8,100,0.1,1,greedy,0.2,20,0.2,20,64.2737,0.3429,45.48295161,341.734375
8,100,0.1,1,linear_approx,0.2,20,0.2,20,63.9604,0.3348,44.50116166,1407.90625
8,100,0.1,1,random,0.2,20,0.1,10,68.5258,0.4099,50.38352773,124.046875
8,100,0.1,1,greedy,0.2,20,0.1,10,63.1298,0.3291,44.65780579,348.140625
8,100,0.1,1,linear_approx,0.2,20,0.1,10,61.8483,0.3219,44.00503405,1318.609375
