seed,total_train_units,sel_ratio,sel_sensor_num,method,initial_units_nums_ratio,initial_units_nums,update_period_ratio,update_period,rmse_test,mape_test,mae_test,time(s)
6,100,0.1,1,random,1,100,0,0,68.6308,0.4418,50.60034788,153.15625
6,100,0.1,1,greedy,1,100,0,0,63.4645,0.3425,44.78594368,396.6875
6,100,0.1,1,linear_approx,1,100,0,0,62.6591,0.3368,44.00996488,1498.40625
6,100,0.2,3,random,1,100,0,0,66.0067,0.3781,47.27340237,142.046875
6,100,0.2,3,greedy,1,100,0,0,63.3331,0.3434,45.05336713,784.859375
6,100,0.2,3,linear_approx,1,100,0,0,62.9518,0.3387,44.616702,2058.96875
6,100,0.4,6,random,1,100,0,0,64.5055,0.3617,46.16387825,142.390625
6,100,0.4,6,greedy,1,100,0,0,62.7811,0.3387,44.44356963,1293.015625
6,100,0.4,6,linear_approx,1,100,0,0,63.0536,0.3409,44.79936326,7665.84375
6,100,0.8,12,random,1,100,0,0,63.4154,0.3481,45.18005703,134.234375
6,100,0.8,12,greedy,1,100,0,0,63.0592,0.3413,44.75304298,1801.09375
6,100,0.8,12,linear_approx,1,100,0,0,62.9949,0.3416,44.75871328,1765.5
6,100,0.1,1,random,0.8,80,0.2,20,69.5774,0.4366,51.01985577,127.234375
6,100,0.1,1,greedy,0.8,80,0.2,20,64.3882,0.3381,45.03418543,355.34375
6,100,0.1,1,linear_approx,0.8,80,0.2,20,63.0715,0.3288,43.86966239,1437.5625
6,100,0.1,1,random,0.8,80,0.1,10,66.6893,0.4149,49.06371731,127.796875
6,100,0.1,1,greedy,0.8,80,0.1,10,68.3106,0.3616,48.04746771,356.578125
6,100,0.1,1,linear_approx,0.8,80,0.1,10,62.4353,0.3387,44.45277154,1443.28125
6,100,0.1,1,random,0.4,40,0.4,40,66.0412,0.3814,47.87836782,128.375
6,100,0.1,1,greedy,0.4,40,0.4,40,65.9829,0.3439,45.99973472,355.140625
6,100,0.1,1,linear_approx,0.4,40,0.4,40,65.7392,0.3375,45.91393439,1435.625
6,100,0.1,1,random,0.4,40,0.2,20,67.3155,0.4019,49.79201113,128.453125
6,100,0.1,1,greedy,0.4,40,0.2,20,65.5963,0.3492,45.869903,354.359375
6,100,0.1,1,linear_approx,0.4,40,0.2,20,66.3637,0.328,45.58510509,1447.25
6,100,0.1,1,random,0.4,40,0.1,10,67.4723,0.3921,49.12436503,129.15625
6,100,0.1,1,greedy,0.4,40,0.1,10,63.4557,0.326,44.32296645,358.09375
6,100,0.1,1,linear_approx,0.4,40,0.1,10,62.4332,0.314,43.5345769,1431.59375
6,100,0.1,1,random,0.2,20,0.8,80,71.0731,0.414,51.06711837,129.21875
6,100,0.1,1,greedy,0.2,20,0.8,80,64.5434,0.3408,45.50511722,359.375
6,100,0.1,1,linear_approx,0.2,20,0.8,80,63.5666,0.3361,44.78781913,1433.1875
6,100,0.1,1,random,0,0,0.8,80,68.7177,0.3899,49.49334039,127.78125
6,100,0.1,1,greedy,0,0,0.8,80,64.6466,0.3294,45.74845373,343.609375
6,100,0.1,1,linear_approx,0,0,0.8,80,67.2724,0.3272,46.40978133,1396.46875
6,100,0.1,1,random,0,0,0.4,40,70.6016,0.3996,50.83339397,121.046875
6,100,0.1,1,greedy,0,0,0.4,40,64.1958,0.337,45.37406337,343.0625
6,100,0.1,1,linear_approx,0,0,0.4,40,64.9666,0.3517,46.87108633,1402.015625
6,100,0.1,1,random,0,0,0.2,20,69.7151,0.3808,50.03569897,122.96875
6,100,0.1,1,greedy,0,0,0.2,20,65.2995,0.3429,46.53233611,342.46875
6,100,0.1,1,linear_approx,0,0,0.2,20,64.0302,0.3291,44.83763538,1407.359375
6,100,0.1,1,random,0,0,0.1,10,70.3657,0.4038,50.9620454,123.40625
6,100,0.1,1,greedy,0,0,0.1,10,65.2178,0.3515,46.41380455,341.828125
6,100,0.1,1,linear_approx,0,0,0.1,10,67.4213,0.3384,46.28768586,1350.6875
6,100,0.1,1,random,0.2,20,0.4,40,67.9243,0.3899,48.11872248,126.34375
6,100,0.1,1,greedy,0.2,20,0.4,40,62.7903,0.3289,44.09379445,341.1875
6,100,0.1,1,linear_approx,0.2,20,0.4,40,74.0757,0.3959,51.55003668,1400.65625
6,100,0.1,1,random,0.2,20,0.2,20,69.3143,0.4079,50.62665289,122.234375
6,100,0.1,1,greedy,0.2,20,0.2,20,64.4635,0.3493,45.93824438,345.625
6,100,0.1,1,linear_approx,0.2,20,0.2,20,67.2691,0.3456,47.08924123,1400.25
6,100,0.1,1,random,0.2,20,0.1,10,68.4073,0.3725,48.79955955,123.25
6,100,0.1,1,greedy,0.2,20,0.1,10,67.499,0.366,47.81381712,350.09375
6,100,0.1,1,linear_approx,0.2,20,0.1,10,62.5759,0.3229,43.20868934,1359.53125
