seed,total_train_units,sel_ratio,sel_sensor_num,method,initial_units_nums_ratio,initial_units_nums,update_period_ratio,update_period,rmse_test,mape_test,mae_test,time(s)
9,100,0.1,1,random,1,100,0,0,67.0151,0.437,50.30430889,153.03125
9,100,0.1,1,greedy,1,100,0,0,62.5004,0.3457,44.66415435,394.890625
9,100,0.1,1,linear_approx,1,100,0,0,64.0792,0.3556,45.76597283,1486.546875
9,100,0.2,3,random,1,100,0,0,65.5526,0.3813,47.64499546,140.59375
9,100,0.2,3,greedy,1,100,0,0,63.7565,0.3463,45.57027356,780.296875
9,100,0.2,3,linear_approx,1,100,0,0,62.4016,0.3413,44.48186626,2050.390625
9,100,0.4,6,random,1,100,0,0,65.7313,0.3659,47.12750532,144.234375
9,100,0.4,6,greedy,1,100,0,0,63.4717,0.3431,45.05413425,1284.078125
9,100,0.4,6,linear_approx,1,100,0,0,62.6326,0.3445,44.80903603,7673.28125
9,100,0.8,12,random,1,100,0,0,64.1327,0.3593,46.25741609,135.125
9,100,0.8,12,greedy,1,100,0,0,63.2455,0.3454,45.21936403,1790.609375
9,100,0.8,12,linear_approx,1,100,0,0,63.2398,0.3469,45.33482814,1749.703125
9,100,0.1,1,random,0.8,80,0.2,20,69.9323,0.4392,51.64860879,127.203125
9,100,0.1,1,greedy,0.8,80,0.2,20,64.2764,0.3574,45.59497867,353.359375
9,100,0.1,1,linear_approx,0.8,80,0.2,20,59.6835,0.3133,41.4649697,1430.828125
9,100,0.1,1,random,0.8,80,0.1,10,66.3237,0.4134,49.00328046,128
9,100,0.1,1,greedy,0.8,80,0.1,10,62.1905,0.3076,42.978801,356.6875
9,100,0.1,1,linear_approx,0.8,80,0.1,10,63.5043,0.34,44.94676555,1429.265625
9,100,0.1,1,random,0.4,40,0.4,40,68.938,0.4122,49.93875533,129.84375
9,100,0.1,1,greedy,0.4,40,0.4,40,61.8232,0.3421,44.07373475,356.453125
9,100,0.1,1,linear_approx,0.4,40,0.4,40,64.7784,0.3312,45.25526568,1429.421875
9,100,0.1,1,random,0.4,40,0.2,20,69.3813,0.4072,50.26218698,128.34375
9,100,0.1,1,greedy,0.4,40,0.2,20,65.4068,0.3485,46.43889321,356.171875
9,100,0.1,1,linear_approx,0.4,40,0.2,20,61.2165,0.3153,42.48395286,1442.546875
9,100,0.1,1,random,0.4,40,0.1,10,70.823,0.4179,51.14147039,129.03125
9,100,0.1,1,greedy,0.4,40,0.1,10,63.436,0.3388,45.33848782,360.96875
9,100,0.1,1,linear_approx,0.4,40,0.1,10,60.9063,0.3281,43.47613867,1439
9,100,0.1,1,random,0.2,20,0.8,80,70.6988,0.4123,51.32712723,128.28125
9,100,0.1,1,greedy,0.2,20,0.8,80,65.6675,0.3554,46.29165002,359.71875
9,100,0.1,1,linear_approx,0.2,20,0.8,80,61.8201,0.3055,42.73925751,1443.84375
9,100,0.1,1,random,0,0,0.8,80,69.1569,0.3989,49.6680215,123.6875
9,100,0.1,1,greedy,0,0,0.8,80,68.4516,0.3412,47.13852358,341.96875
9,100,0.1,1,linear_approx,0,0,0.8,80,63.4972,0.3055,43.47812073,1387.71875
9,100,0.1,1,random,0,0,0.4,40,71.2501,0.4045,51.87371683,123.6875
9,100,0.1,1,greedy,0,0,0.4,40,63.8238,0.336,45.07724818,345.859375
9,100,0.1,1,linear_approx,0,0,0.4,40,63.4243,0.3189,44.30731541,1397.765625
9,100,0.1,1,random,0,0,0.2,20,68.7332,0.3818,49.05324968,122.9375
9,100,0.1,1,greedy,0,0,0.2,20,64.9514,0.3439,46.72197327,342.015625
9,100,0.1,1,linear_approx,0,0,0.2,20,63.8356,0.3512,45.46850282,1405.609375
9,100,0.1,1,random,0,0,0.1,10,67.1563,0.3878,49.23785899,123.125
9,100,0.1,1,greedy,0,0,0.1,10,64.9705,0.3565,46.83187838,346.34375
9,100,0.1,1,linear_approx,0,0,0.1,10,64.5078,0.3264,44.74909494,1380.78125
9,100,0.1,1,random,0.2,20,0.4,40,70.1957,0.4024,50.64528336,123.40625
9,100,0.1,1,greedy,0.2,20,0.4,40,64.4744,0.3546,45.97091691,339.28125
9,100,0.1,1,linear_approx,0.2,20,0.4,40,64.0761,0.3263,44.39417457,1398.28125
9,100,0.1,1,random,0.2,20,0.2,20,68.5943,0.3926,50.14289551,122.359375
9,100,0.1,1,greedy,0.2,20,0.2,20,63.6586,0.3244,44.65660914,344.140625
9,100,0.1,1,linear_approx,0.2,20,0.2,20,61.763,0.3175,43.19446901,1398.375
9,100,0.1,1,random,0.2,20,0.1,10,74.6945,0.398,53.01933293,122.734375
9,100,0.1,1,greedy,0.2,20,0.1,10,65.9795,0.3642,47.57854906,351.59375
9,100,0.1,1,linear_approx,0.2,20,0.1,10,65.3347,0.3445,46.67598161,1391.8125
