seed,total_train_units,sel_ratio,sel_sensor_num,method,initial_units_nums_ratio,initial_units_nums,update_period_ratio,update_period,rmse_test,mape_test,mae_test,time(s)
5,100,0.1,1,random,1,100,0,0,68.581,0.4374,51.19540077,143.609375
5,100,0.1,1,greedy,1,100,0,0,63.8815,0.3484,45.37124705,397.375
5,100,0.1,1,linear_approx,1,100,0,0,64.266,0.3477,45.47599127,1497.25
5,100,0.2,3,random,1,100,0,0,64.5859,0.376,47.39440053,143.328125
5,100,0.2,3,greedy,1,100,0,0,63.27,0.3411,44.94734977,782.28125
5,100,0.2,3,linear_approx,1,100,0,0,62.7877,0.3367,44.50863894,2056.796875
5,100,0.4,6,random,1,100,0,0,64.5208,0.3589,46.51930276,142.3125
5,100,0.4,6,greedy,1,100,0,0,63.5041,0.3397,45.00473739,1288.84375
5,100,0.4,6,linear_approx,1,100,0,0,63.3421,0.3396,44.950079,7624.046875
5,100,0.8,12,random,1,100,0,0,64.0237,0.3486,45.78228378,127.28125
5,100,0.8,12,greedy,1,100,0,0,63.5168,0.3413,45.08211011,1791.890625
5,100,0.8,12,linear_approx,1,100,0,0,63.5145,0.341,45.09385076,1776.03125
5,100,0.1,1,random,0.8,80,0.2,20,71.5894,0.4589,53.0636933,126.671875
5,100,0.1,1,greedy,0.8,80,0.2,20,64.0974,0.3445,45.8260755,356.65625
5,100,0.1,1,linear_approx,0.8,80,0.2,20,63.2618,0.34,44.98420864,1434.34375
5,100,0.1,1,random,0.8,80,0.1,10,70.5334,0.4373,51.80240851,127.390625
5,100,0.1,1,greedy,0.8,80,0.1,10,64.7958,0.3405,45.10404125,357.4375
5,100,0.1,1,linear_approx,0.8,80,0.1,10,63.5559,0.324,43.93259431,1437.265625
5,100,0.1,1,random,0.4,40,0.4,40,69.2141,0.424,51.31522852,127.71875
5,100,0.1,1,greedy,0.4,40,0.4,40,63.7502,0.3352,44.70170011,357.3125
5,100,0.1,1,linear_approx,0.4,40,0.4,40,65.2235,0.3499,46.67949278,1435.34375
5,100,0.1,1,random,0.4,40,0.2,20,68.3306,0.3869,48.48297233,127.203125
5,100,0.1,1,greedy,0.4,40,0.2,20,72.1566,0.3746,51.06022408,358.953125
5,100,0.1,1,linear_approx,0.4,40,0.2,20,65.698,0.3495,46.11636284,1443.171875
5,100,0.1,1,random,0.4,40,0.1,10,69.972,0.4091,51.00610744,128.203125
5,100,0.1,1,greedy,0.4,40,0.1,10,63.4973,0.3417,45.34875086,365.109375
5,100,0.1,1,linear_approx,0.4,40,0.1,10,63.6557,0.3357,44.56025892,1441.015625
5,100,0.1,1,random,0.2,20,0.8,80,73.5347,0.4278,52.61328369,127.921875
5,100,0.1,1,greedy,0.2,20,0.8,80,66.9269,0.3277,45.96638117,360.1875
5,100,0.1,1,linear_approx,0.2,20,0.8,80,67.9586,0.3356,46.05309266,1445.703125
5,100,0.1,1,random,0,0,0.8,80,71.01,0.4081,51.57158081,115.125
5,100,0.1,1,greedy,0,0,0.8,80,67.1261,0.3444,47.21362789,343.296875
5,100,0.1,1,linear_approx,0,0,0.8,80,64.6228,0.3372,45.55301198,1393.6875
5,100,0.1,1,random,0,0,0.4,40,69.6474,0.3955,49.91564573,122.3125
5,100,0.1,1,greedy,0,0,0.4,40,63.7981,0.3345,45.73336508,346.34375
5,100,0.1,1,linear_approx,0,0,0.4,40,62.9203,0.3197,44.32544887,1397.046875
5,100,0.1,1,random,0,0,0.2,20,70.1729,0.3849,50.98157076,121.640625
5,100,0.1,1,greedy,0,0,0.2,20,62.861,0.3285,45.43536934,348.234375
5,100,0.1,1,linear_approx,0,0,0.2,20,61.6801,0.3294,44.21497107,1403.9375
5,100,0.1,1,random,0,0,0.1,10,68.4809,0.3965,49.92860925,124.046875
5,100,0.1,1,greedy,0,0,0.1,10,62.5394,0.3247,43.82970898,348.734375
5,100,0.1,1,linear_approx,0,0,0.1,10,63.7389,0.3345,45.56661467,1359.59375
5,100,0.1,1,random,0.2,20,0.4,40,70.5815,0.4028,50.73749362,127.203125
5,100,0.1,1,greedy,0.2,20,0.4,40,64.8821,0.3365,45.58917945,340.890625
5,100,0.1,1,linear_approx,0.2,20,0.4,40,63.1333,0.3312,44.56006233,1403.59375
5,100,0.1,1,random,0.2,20,0.2,20,67.8427,0.3745,48.45462116,123.21875
5,100,0.1,1,greedy,0.2,20,0.2,20,65.3553,0.3294,45.07286315,343.09375
5,100,0.1,1,linear_approx,0.2,20,0.2,20,61.8919,0.3361,43.81123803,1413.703125
5,100,0.1,1,random,0.2,20,0.1,10,72.4367,0.4091,51.83051868,123.453125
5,100,0.1,1,greedy,0.2,20,0.1,10,66.8234,0.3334,46.21837587,347.109375
5,100,0.1,1,linear_approx,0.2,20,0.1,10,63.6829,0.3231,44.21934347,1321.078125
