seed,total_train_units,sel_ratio,sel_sensor_num,method,initial_units_nums_ratio,initial_units_nums,update_period_ratio,update_period,rmse_test,mape_test,mae_test,time(s)
7,100,0.1,1,random,1,100,0,0,67.8666,0.4314,50.79970759,156.3125
7,100,0.1,1,greedy,1,100,0,0,63.5276,0.364,45.96156053,396.484375
7,100,0.1,1,linear_approx,1,100,0,0,62.5567,0.3621,45.21556587,1495.9375
7,100,0.2,3,random,1,100,0,0,65.4661,0.3854,47.75254221,141.921875
7,100,0.2,3,greedy,1,100,0,0,62.8884,0.351,44.89420834,784.875
7,100,0.2,3,linear_approx,1,100,0,0,63.1378,0.3524,45.08518766,2049.875
7,100,0.4,6,random,1,100,0,0,64.5521,0.3678,46.46391027,143.46875
7,100,0.4,6,greedy,1,100,0,0,62.8733,0.348,44.88959458,1291.359375
7,100,0.4,6,linear_approx,1,100,0,0,62.9022,0.35,45.00934476,7641.140625
7,100,0.8,12,random,1,100,0,0,63.5442,0.3573,45.63340364,135.0625
7,100,0.8,12,greedy,1,100,0,0,63.0673,0.3504,45.14961118,1793.09375
7,100,0.8,12,linear_approx,1,100,0,0,63.1273,0.3504,45.14708303,1760.71875
7,100,0.1,1,random,0.8,80,0.2,20,68.7168,0.4266,50.35727896,126.125
7,100,0.1,1,greedy,0.8,80,0.2,20,61.6858,0.3217,43.23470954,354.453125
7,100,0.1,1,linear_approx,0.8,80,0.2,20,63.5511,0.3464,45.07484522,1435.015625
7,100,0.1,1,random,0.8,80,0.1,10,67.1511,0.4059,49.31794236,126.9375
7,100,0.1,1,greedy,0.8,80,0.1,10,65.1756,0.3408,45.71305541,356.625
7,100,0.1,1,linear_approx,0.8,80,0.1,10,63.2758,0.3304,44.43309176,1438.296875
7,100,0.1,1,random,0.4,40,0.4,40,66.7056,0.394,48.79098488,128.640625
7,100,0.1,1,greedy,0.4,40,0.4,40,62.9715,0.3307,44.45374712,358.265625
7,100,0.1,1,linear_approx,0.4,40,0.4,40,61.0104,0.3386,43.69540204,1434.59375
7,100,0.1,1,random,0.4,40,0.2,20,74.0666,0.428,52.85257651,127.125
7,100,0.1,1,greedy,0.4,40,0.2,20,64.1548,0.3475,46.0491411,363.546875
7,100,0.1,1,linear_approx,0.4,40,0.2,20,62.289,0.3416,44.56805734,1444.421875
7,100,0.1,1,random,0.4,40,0.1,10,67.4076,0.3929,49.5555639,127.234375
7,100,0.1,1,greedy,0.4,40,0.1,10,62.7866,0.3292,43.94241511,365.015625
7,100,0.1,1,linear_approx,0.4,40,0.1,10,62.1732,0.3299,44.07296745,1453.234375
7,100,0.1,1,random,0.2,20,0.8,80,69.6143,0.4158,51.37539513,126.953125
7,100,0.1,1,greedy,0.2,20,0.8,80,63.8694,0.3312,44.9641934,355.828125
7,100,0.1,1,linear_approx,0.2,20,0.8,80,63.8722,0.3451,44.49011116,1444.96875
7,100,0.1,1,random,0,0,0.8,80,71.4315,0.4135,51.40022358,128.078125
7,100,0.1,1,greedy,0,0,0.8,80,65.4701,0.3303,46.09928485,340.796875
7,100,0.1,1,linear_approx,0,0,0.8,80,63.6066,0.3249,44.51250095,1397.171875
7,100,0.1,1,random,0,0,0.4,40,66.4405,0.3793,47.72273659,121.8125
7,100,0.1,1,greedy,0,0,0.4,40,63.7685,0.3281,44.55572952,345.34375
7,100,0.1,1,linear_approx,0,0,0.4,40,68.0215,0.3551,48.15803347,1400.140625
7,100,0.1,1,random,0,0,0.2,20,68.7646,0.3834,49.70762778,121.234375
7,100,0.1,1,greedy,0,0,0.2,20,61.4155,0.3091,42.64361595,351.046875
7,100,0.1,1,linear_approx,0,0,0.2,20,68.8682,0.3452,48.26799267,1406.890625
7,100,0.1,1,random,0,0,0.1,10,72.4475,0.4219,53.23441687,121.796875
7,100,0.1,1,greedy,0,0,0.1,10,64.484,0.336,44.89164143,363.65625
7,100,0.1,1,linear_approx,0,0,0.1,10,62.1442,0.345,44.77787224,1416.40625
7,100,0.1,1,random,0.2,20,0.4,40,69.1481,0.4193,51.30474303,124.765625
7,100,0.1,1,greedy,0.2,20,0.4,40,63.2606,0.3294,43.92590796,339.859375
7,100,0.1,1,linear_approx,0.2,20,0.4,40,64.1141,0.3346,44.51254446,1392.96875
7,100,0.1,1,random,0.2,20,0.2,20,69.7307,0.3901,50.20614046,122.140625
7,100,0.1,1,greedy,0.2,20,0.2,20,61.3551,0.3159,42.88954412,348.203125
7,100,0.1,1,linear_approx,0.2,20,0.2,20,63.0216,0.3277,44.18036307,1397.375
7,100,0.1,1,random,0.2,20,0.1,10,68.7999,0.4294,50.06360229,123.171875
7,100,0.1,1,greedy,0.2,20,0.1,10,63.7408,0.3437,44.63499845,360.796875
7,100,0.1,1,linear_approx,0.2,20,0.1,10,65.2764,0.347,46.47783246,1415.171875
