seed,total_train_units,sel_ratio,sel_sensor_num,method,initial_units_nums_ratio,initial_units_nums,update_period_ratio,update_period,rmse_test,mape_test,mae_test,time(s)
6,100,0.1,1,random,1.0,100,0.0,0,53.4481,0.4688,42.03731168395825,100.859375
6,100,0.1,1,greedy,1.0,100,0.0,0,43.3595,0.3194,32.308841198972445,227.46875
6,100,0.1,1,linear_approx,1.0,100,0.0,0,43.0631,0.3206,32.474967142538624,900.890625
6,100,0.2,2,random,1.0,100,0.0,0,48.0634,0.3844,36.801074053477286,96.625
6,100,0.2,2,greedy,1.0,100,0.0,0,44.1513,0.3143,33.012329874054345,342.09375
6,100,0.2,2,linear_approx,1.0,100,0.0,0,42.3301,0.3013,31.904991638988808,945.765625
6,100,0.4,5,random,1.0,100,0.0,0,41.3555,0.3035,31.392720074437587,93.328125
6,100,0.4,5,greedy,1.0,100,0.0,0,38.9882,0.2643,28.894566304920268,610.734375
6,100,0.4,5,linear_approx,1.0,100,0.0,0,38.2192,0.2606,28.21632451671682,2353.765625
6,100,0.8,11,random,1.0,100,0.0,0,40.4045,0.2739,29.857559877281616,100.1875
6,100,0.8,11,greedy,1.0,100,0.0,0,37.3528,0.2483,27.01265843914014,1012.09375
6,100,0.8,11,linear_approx,1.0,100,0.0,0,36.31,0.2442,26.70127132701169,1170.5
6,100,0.1,1,random,0.8,80,0.2,20,45.0198,0.3594,34.248470387009725,99.453125
6,100,0.1,1,greedy,0.8,80,0.2,20,38.468,0.2906,29.182118862113494,239.203125
6,100,0.1,1,linear_approx,0.8,80,0.2,20,42.2168,0.3109,32.41565407301596,964.140625
6,100,0.1,1,random,0.8,80,0.1,10,47.5366,0.3853,37.18858337194968,100.046875
6,100,0.1,1,greedy,0.8,80,0.1,10,37.0426,0.2663,27.615480883493653,245.171875
6,100,0.1,1,linear_approx,0.8,80,0.1,10,40.6154,0.2688,29.2840391129794,973.5
6,100,0.1,1,random,0.4,40,0.4,40,45.9254,0.3495,35.088970416029234,100.84375
6,100,0.1,1,greedy,0.4,40,0.4,40,38.2806,0.2644,27.984128852037127,244.921875
6,100,0.1,1,linear_approx,0.4,40,0.4,40,42.7085,0.2926,32.11043485644015,966.71875
6,100,0.1,1,random,0.4,40,0.2,20,45.9245,0.3427,34.85422154829969,100.1875
6,100,0.1,1,greedy,0.4,40,0.2,20,42.866,0.2896,31.486799475923533,245.921875
6,100,0.1,1,linear_approx,0.4,40,0.2,20,43.4128,0.2963,32.18178644595858,970.578125
6,100,0.1,1,random,0.4,40,0.1,10,42.9708,0.3517,32.91331438952677,99.40625
6,100,0.1,1,greedy,0.4,40,0.1,10,40.9883,0.2833,29.34507760552064,246.28125
6,100,0.1,1,linear_approx,0.4,40,0.1,10,37.2596,0.2652,28.01867325432826,980.8125
6,100,0.1,1,random,0.2,20,0.8,80,44.3191,0.3622,33.01705353195213,99.390625
6,100,0.1,1,greedy,0.2,20,0.8,80,38.2354,0.2665,28.240877653670523,238.4375
6,100,0.1,1,linear_approx,0.2,20,0.8,80,41.0234,0.2884,30.438662428907385,963.90625
6,100,0.1,1,random,0.2,20,0.4,40,45.4716,0.3601,34.67492848143739,99.859375
6,100,0.1,1,greedy,0.2,20,0.4,40,41.2833,0.2704,30.614321449688088,240.515625
6,100,0.1,1,linear_approx,0.2,20,0.4,40,39.6934,0.2875,29.4653099942285,976.15625
6,100,0.1,1,random,0.2,20,0.2,20,42.5666,0.3382,31.667361722483104,99.921875
6,100,0.1,1,greedy,0.2,20,0.2,20,41.4054,0.2871,31.258588714910502,241.609375
6,100,0.1,1,linear_approx,0.2,20,0.2,20,39.2725,0.2722,29.014386117366833,990.9375
6,100,0.1,1,random,0.2,20,0.1,10,46.3865,0.3418,33.821490627492324,102.0625
6,100,0.1,1,greedy,0.2,20,0.1,10,39.6109,0.2551,28.32877943621783,246.84375
6,100,0.1,1,linear_approx,0.2,20,0.1,10,37.2631,0.2532,27.323563881121512,974.28125
6,100,0.1,1,random,0.0,0,0.8,80,43.7605,0.3452,33.23932326140346,100.640625
6,100,0.1,1,greedy,0.0,0,0.8,80,45.4648,0.3058,33.80316151563336,243.71875
6,100,0.1,1,linear_approx,0.0,0,0.8,80,45.0116,0.3026,33.27106071832783,966.890625
6,100,0.1,1,random,0.0,0,0.4,40,44.7132,0.4057,35.80100209295662,99.453125
6,100,0.1,1,greedy,0.0,0,0.4,40,39.3469,0.2844,29.648391919743435,241.71875
6,100,0.1,1,linear_approx,0.0,0,0.4,40,42.2161,0.3009,31.301883823951364,970.9375
6,100,0.1,1,random,0.0,0,0.2,20,44.1066,0.3303,33.18808666665915,101.28125
6,100,0.1,1,greedy,0.0,0,0.2,20,43.1409,0.2876,31.642848607251416,238.46875
6,100,0.1,1,linear_approx,0.0,0,0.2,20,39.2609,0.2848,29.85230088070682,985.9375
6,100,0.1,1,random,0.0,0,0.1,10,41.9559,0.3091,30.595823831926793,100.5
6,100,0.1,1,greedy,0.0,0,0.1,10,39.1081,0.2765,29.29188605734379,241.109375
6,100,0.1,1,linear_approx,0.0,0,0.1,10,42.0377,0.3105,32.051789042169446,894.796875
